연번,업체명,업종,전화번호,소지재 지번주소,소재지 도로명 주소,시설종류,오염물질명, 용량(ℓ) ,수량(기),시설형태
1,영진주유소㈜유테크 김해지점,주유소,055-327-8201,경상남도 김해시 내동 495,경상남도 김해시 금관대로 1279 (내동),석유류저장시설,"제1석유류(휘발유) 40,000*1제2석유류(등유) 40,000*1제2석유류(경유) 40,000*1",120000,3,지하
2,예진주유소,주유소,055-335-5192,경상남도 김해시 어방동 351-8,경상남도 김해시 인제로 145 (어방동),석유류저장시설,"휘발유 40,000*2 등유 40,000*1 경유 40,000*1",160000,4,지하
3,고속도로관리공단 진영(상)주유소,주유소,055-342-0878,경상남도 김해시 진영읍 우동리 377-2,경상남도 김해시 진영읍 하계로96번길 44-49,석유류저장시설,"휘발유 30,000*3         20,000*1경유 30,000*2      50,000*2",270000,8,지하
4,고속도로관리공단 진영(하)주유소,주유소,055-343-5415,경상남도 김해시 진영읍 우동리 452,경상남도 김해시 진영읍 하계로96번길 94-2,석유류저장시설,휘발유 30000*2경유 20000*1      30000*1,110000,4,지하
5,상동농협직영주유소,주유소,055-331-8703,경상남도 김해시 상동면 매리 93-3,경상남도 김해시 상동면 동북로 481,석유류저장시설,"휘발유 20,000*1경유 20,000*2등유 20,000*2",100000,5,지하
6,부영주유소,주유소,055-343-6057,경상남도 김해시 진영읍 진영리 319-121,경상남도 김해시 진영읍 진산대로 187,석유류저장시설,"휘발유 50,000*1 경유 24,000*3       50,000*1등유 24,000*1",196000,6,지하
7,해안주유소,주유소,055-323-2200,경상남도 김해시 명법동 202-2,경상남도 김해시 금관대로 820-16 (명법동),석유류저장시설,휘발유 20000*2경유 40000*3,160000,5,지하
8,믿음가득주유소,주유소,055-334-6080,경상남도 김해시 어방동 1116-3외2필지,경상남도 김해시 김해대로 2537 (어방동),석유류저장시설,"제1석유류 20,000*1제1석유류 6,000*1제2석유류 20,000*3제2석유류 50,000*1제2석유류 20,000*1",156000,7,지하
9,송진주유소,주유소,055-343-0052,경상남도 김해시 한림면 신천리 285-2,경상남도 김해시 한림면 김해대로 1567,석유류저장시설,"휘발유20,000*1경유 20,000*2      50,000*1등유 20,000*1",130000,5,지하
10,현대주유소,주유소,055-342-7900,경상남도 김해시 한림면 명동리 61-1,경상남도 김해시 한림면 한림로 131,석유류저장시설,"휘발유 30,000*1경유 30,000*2등유 30,000*1",120000,4,지하
11,단감주유소,주유소,055-345-0051,경상남도 김해시 진영읍 진영리 728,경상남도 김해시 진영읍 진산대로 243 ,석유류저장시설,"휘발유 30,000*1경유 30,000*3       50,000*1등유 30,000*1",200000,5,지하
12,㈜경영에너지 김해지점 구도일주유소,주유소,055-323-4406,경상남도 김해시 부원동 605-17,경상남도 김해시 김해대로 2329 (부원동),석유류저장시설,"휘발유 50,000*2경유 50,000*2",200000,4,지하
13,남광석유판매㈜ 신어주유소,주유소,055-322-2058,경상남도 김해시 어방동1050-9,경상남도 김해시 분성로 569 (어방동),석유류저장시설,"휘발유 30,000*1경유 30,000*3등유 30,000*1",150000,5,지하
14,중앙주유소,주유소,055-331-6121,경상남도 김해시 대동면 주중리 68-1,경상남도 김해시 대동면 대동로 264,석유류저장시설,"휘발유 50,000*1경유 50,000*1      20,000*1등유 20,000*2",160000,5,지하
15,한통아스콘㈜,기타,055-346-1100,경상남도 김해시 한림면 안곡리 623-2,경상남도 김해시 한림면 안곡로 265,석유류저장시설,"중유 33,500*1",33500,1,지상
16,㈜제때 스마일주유소,주유소,055-345-8801,경상남도 김해시 한림면 명동리 1290-1,경상남도 김해시 한림면 김해대로 1045,석유류저장시설,"휘발유 20,000*2경유 20,000*2      50,000*2등유 20,000*1",200000,7,지하
17,현대오일뱅크㈜ 직영 차사랑 셀프주유소,주유소,055-337-1146,경상남도 김해시 내동 1144-4,경상남도 김해시 내외중앙로 56 (내동),석유류저장시설,"휘발유 30,000*2경유 30,000*1등유 30,000*1",120000,4,지하
18,주촌주유소,주유소,055-338-6323,경상남도 김해시 주촌면 망덕리 844,경상남도 김해시 주촌면 서부로 1419,석유류저장시설,"휘발유 20,000*1경유 20,000*2등유 20,000*1      10,000*1",90000,5,지하
19,신천주유소,주유소,055-343-0056,경상남도 김해시 한림면 신천리 753-9,경상남도 김해시 한림면 김해대로 1419,석유류저장시설,"휘발유 50,000*1경유 50,000*2등유 50,000*1",200000,4,지하
20,대지주유소,주유소,055-332-1425,경상남도 김해시 불암동 94-1,경상남도 김해시 김해대로 2733,석유류저장시설,휘발유 12000*2경유 20000*2등유 12000*1,76000,5,지하
21,행운주유소,주유소,055-323-6831,경상남도 김해시 상동면 우계리 723,경상남도 김해시 상동면 상동로 295,석유류저장시설,"휘발유 20,000*2경유 20,000*2등유 20,000*1",100000,5,지하
22,대감주유소,주유소,055-323-1001,경상남도 김해시 대동면 대감리 585-3,경상남도 김해시 대동면 대동로 934,석유류저장시설,"휘발유 30,000*1경유 30,000*1       40,000*3등유 20,000*1",200000,6,지하
23,㈜청해아스콘,기타,055-324-0160,경상남도 김해시 주촌면 선지리 산75,경상남도 김해시 주촌면 선지리 산75,석유류저장시설,중유 25000*2경유 20000*1,70000,3,지상
24,㈜동남,기타,055-329-1913,경상남도 김해시 주촌면 선지리 38-3,경상남도 김해시 주촌면 서부로1701번안길 58-100,석유류저장시설,중유 20000*1경유 10000*1,30000,2,지상
25,동창원IC주유소,주유소,055-343-6402,경상남도 김해시 진영읍 좌곤리 597,경상남도 김해시 진영읍 김해대로 139,석유류저장시설,"경유 50,000*3등유 50,000*1휘발유 40,000*1휘발유 50,000*2",340000,7,지하
26,㈜천일에너지 천일주유소,주유소,055-321-8877,경상남도 김해시 부원동 442-33,경상남도 김해시 호계로 326,석유류저장시설,"휘발유 23,500*1경유 23,500*3등유 23,500*1",117500,5,지하
27,보성주유소,주유소,055-343-2492,경상남도 김해시 진영읍 진영리 553-2,경상남도 김해시 진영읍 진영로 48,석유류저장시설,"휘발유 30,000*1         50,000*1경유 50,000*3등유 50,000*1",230000,6,지하
28,광신석유㈜ 나전주유소,주유소,055-323-9279,경상남도 김해시 생림면 나전리 230-2,경상남도 김해시 생림면 나전로 81,석유류저장시설,"휘발유 24,000*1경유 24,000*2등유 24,000*1",120000,5,지하
29,신용주유소,주유소,055-342-1550,경상남도 김해시 진영읍 신용리 318-9,경상남도 김해시 진영읍 진영로 393외 2(신용리),석유류저장시설,제2석유류 30000*1제2석유류 50000*2제1석유류 40000*2 ,21000,5,지하
30,㈜성우디오씨 빙그레주유소,주유소,055-345-8826,경상남도 김해시 한림면 병동리 966,경상남도 김해시 한림면 김해대로 926,석유류저장시설,"휘발유 20,000*2경유 20,000*2등유 20,000*1",100000,5,지하
31,경양주유소,주유소,,경상남도 김해시 진영읍 신용리 486,경상남도 김해시 진영읍 김해대로 587,석유류저장시설,"휘발유 40,000*1경유 40,000*2등유 40,000*1경유 49,000*1경유 50,000*1",259000,4,지하
32,해창석유㈜직영유성주유소,주유소,055-345-6668,경상남도 김해시 진례면 청천리 367-4,경상남도 김해시 진례면 서부로 401,석유류저장시설,"경유 50,000*7휘발유 50,000*1등유 30,000*1",430000,9,지하
33,용담주유소,주유소,055-346-1525,경상남도 김해시 진영읍 설창리 726-1,경상남도 김해시 진영읍 서부로38번길 6,석유류저장시설,"제1석유류(휘발유) 50,000제2석유류(경유) 50,000제2석유류(경유) 50,000제2석유류(등유) 50,000",200000,4,지하
34,㈜넥센,유해화학물질,055-333-0771,경상남도 김해시 안동 262-14,경상남도 김해시 김해대로 2595,석유류저장시설,"윤활유 59,000*1         25,700*2",110400,3,지하
35,SK 고속주유소,주유소,055-342-5741,경상남도 김해시 진영읍 의전리 173-3,경상남도 김해시 진영읍 서부로 386,석유류저장시설,"휘발유 40,000*1경유 40,000*2등유 40,000*1",160000,4,지하
36,㈜세기에너지,산업시설,055-329-4445,경상남도 김해시 안동 426-1,경상남도 김해시 김해대로2579번길 36 (안동),석유류저장시설,"제4석유류(폐유) 140,000*2제3석유류(이온정제유) 60,000*1제4석유류(이온정제유) 88,000*1제3석유류(방카A유) 5,000*1",433000,5,지상
37,진영셀프주유소,주유소,,경상남도 김해시 진영읍 좌곤리 388-4,경상남도 김해시 진영읍 김해대로 68,석유류저장시설,"제1석유류 40,000*2제2석유류 40,000*2제2석유류 40,000*1",200000,5,지하
38,㈜디엔씨,유해화학물질,055-346-0192,경상남도 김해시 진영읍 좌곤리 92,경상남도 김해시 진영읍 김해대로 118-51 ,유해화학물저장및제조시설,"크실렌 40,000*1 톨루엔 20,000*1솔벤트V-1 20,000*1MIBK 10,000*1솔벤트V 10,000*1벙커A유 11,600*1외 10",666300,16,지하
39,파란들주유소,주유소,055-345-8863,경상남도 김해시 한림면 명동리 803-1,경상남도 김해시 김해대로 1300,석유류저장시설,"휘발유 40,000*1경유 40,000*2등유 20,000*1      30,000*1",170000,5,지하
40,성창기업㈜,유해화학물질,055-324-8507,경상남도 김해시 어방동 1062-5,경상남도 김해시 분성로541번길 14 (어방동),석유류저장시설,"경유 10,000*1          400*1중유 10,000*1          400*1",20800,4,지상
41,유성주유소,주유소,055-292-8244,경상남도 김해시 주촌면 내삼리 783,경상남도 김해시 주촌면 서부로 1444,석유류저장시설,"휘발유 40,000*1경   유 40,000*1등   유 40,000*1",120000,3,지하
42,이손에너지㈜김해지점 동남주유소,주유소,,경상남도 김해시 생림면 사촌리 609-16,경상남도 김해시 생림면 생림대로 693,석유류저장시설,"휘발유 12,000*2경   유 12,000*1, 5,000*4  등   유 12,000*2",80000,9,지하
43,내룡주유소,주유소,055-342-4852,경상남도 김해시 진영읍 내룡리 71-2,경상남도 김해시 진영읍 서부로 60,석유류저장시설,"휘발유 40,000*1경   유 40,000*2등   유 40,000*1",160000,4,지하
44,좌곤주유소,주유소,055-345-0474,경상남도 김해시 진영읍 좌곤리 71,경상남도 김해시 진영읍 김해대로 134,석유류저장시설,"휘발유 40,000*1경   유 40,000*2등   유 40,000*1",160000,4,지하
45,동원주유소,주유소,055-323-6200,경상남도 김해시 상동면 대감리 569-3,경상남도 김해시 상동면 상동로 578,석유류저장시설,"경유 40,000*2      20,000*3휘발유 50,000*1         20,000*1등유 40,000*1      20,000*1",270000,9,지하
46,본산주유소,주유소,055-343-3367,경상남도 김해시 진영읍 본산리 1208-1,경상남도 김해시 진영읍 본산로 112,석유류저장시설,휘발유 10000*2경유 20000*1등유 20000*1,60000,4,지하
47,국민주유소,주유소,323-9400,경상남도 김해시 생림면 사촌리 38-1,경상남도 김해시 생림면 나전로 320,석유류저장시설,"휘발유 50,000*1경유 50,000*4경유 20,000*3등유 20,000*1 ",330000,9,지하
48,명일주유소,주유소,055-345-5830,경상남도 김해시 진례면 송현리 202,경상남도 김해시 진례면 고모로 255,석유류저장시설,"휘발유 40,000*1경   유 40,000*2등   유 40,000*1",120000,4,지하
49,금성주유소,주유소,055-346-1500,경상남도 김해시 어방동 1100-1,경상남도 김해시 분성로 502 (어방동),석유류저장시설,"휘발유 20,000*1경   유 20,000*1등   유 20,000*1",60000,3,지하
50,명동주유소,주유소,055-345-8600,경상남도 김해시 한림면 명동리 1065-3,경상남도 김해시 한림면 김해대로 1165,석유류저장시설,"휘발유 30000*1경유 50000*2경유 30,000*1등유 30000*1",190000,5,지하
51,화영상사,유해화학물질,055-322-2201,경상남도 김해시 어방동 1048-11,경상남도 김해시 분성로579번길 33 (어방동),석유류저장시설,DOP 21000*2,42000,2,지하
52,칠산주유소,주유소,,경상남도 김해시 풍유동 375-4,경상남도 김해시 금관대로910번길 30  (풍유동),석유류저장시설,"제1석유류(휘발유) 20,000*1제2석유류(경유) 20,000*3제2석유류(등유) 20,000*1",100000,5,지하
53,대동주유소,주유소,055-335-6464,경상남도 김해시 대동면 초정리 956-14,경상남도 김해시 대동면 대동로 645,석유류저장시설,"휘발유 20,000*1경유 20,000*3등유 20,000*1",100000,5,지하
54,태경주유소,주유소,055-343-5186,경상남도 김해시 진영읍 죽곡리 257-3,경상남도 김해시 진영읍 서부로 211,석유류저장시설,"휘발유 20,000*3경유 20,000*1등유 20,000*1",100000,5,지하
55,㈜카보라인코리아1공장,유해화학물질,055-343-6441,경상남도 김해시 진영읍 진영리 43-1,경상남도 김해시 진영읍 본산로 81,유해화학물저장및제조시설,"코코졸 24,000*1키시렌 24,000*1톨루엔 12,000*1한솔 12,000*1중유 12,000*1",84000,5,지하
56,㈜국제상사,기타,055-330-7111,경상남도 김해시 안동 360-1,경상남도 김해시 분성로 627번길 15 (안동),석유류저장시설,"중유 100,000*1",100000,1,지상
57,한림주유소,주유소,055-342-6023,경상남도 김해시 한림면 장방리 1322-4,경상남도 김해시 한림면 한림로 427,석유류저장시설,"휘발유 6,000*1경유 12,000*1, 6,000*1등유 3000*1",27000,4,지하
58,문교산업,기타,,경상남도 김해시 한림면 신천리 717-4,경상남도 김해시 한림면 김해대로 1380-14,석유류저장시설,중유 8000*1      12100*1경유 10000*1,30100,3,지상
59,우성에코텍㈜유테크 영남지점,산업시설,055-331-3400,경상남도 김해시 어방동 1065-3,경상남도 김해시 김해대로2553번길 34 (어방동),석유류저장시설,"폐유 200,000*6이온정제유 200,000*2",1600000,8,지상
60,영남화훼원예농협주유소,주유소,055-321-7791,경상남도 김해시 삼정동 44-9,경상남도 김해시 분성로 465 (삼정동),석유류저장시설,"휘발유 50,000*2, 40,000*1경유 40,000*4",300000,7,지하
61,설창주유소,주유소,055-342-4113,경상남도 김해시 진영읍 설창리 140-1,경상남도 김해시 진영읍 김해대로 793,석유류저장시설,"휘발유 40,000*1경유 40,000*3        50,000*2",200000,5,지하
62,초원주유소,주유소,055-343-6655,경상남도 김해시 진영읍 진영리 318-156,경상남도 김해시 진영읍 진산대로 96,석유류저장시설,"휘발유 30,000*2경유 30,000*2등유 30,000*1",150000,5,지하
63,세은주유소,주유소,055-327-5189,경상남도 김해시 지내동 196-11,경상남도 김해시 김해대로 2724 (지내동),석유류저장시설,"휘발유 30,000*2경유 30,000*2, 50,000*1등유 30,000*1",200000,6,지하
64,㈜행복한식품 펭귄주유소 ,주유소,055-335-4775,경상남도 김해시 불암동 79-7,경상남도 김해시 김해대로 2757 (불암동),석유류저장시설,"휘발유 30,000*1경유 30,000*4",150000,5,지하
65,현성주유소,주유소,055-321-6793,경상남도 김해시 안동 543-8,경상남도 김해시 김해대로 2648 (안동),석유류저장시설,"휘발유 30,000*1 경유 30,000*2",90000,3,지하
66,카보라인코리아2공장,유해화학물질,055-343-6441,경상남도 김해시 진영읍 본산리 960,경상남도 김해시 진영읍 본산로86번길 31-6,석유류저장시설,"자일렌 16,000*1PMA 16,000*1에틸알코올 16,000*1이소부탄올 16,000*1MIBK 16,000*1IPA 16,000*1PM 16,000*1중유 16,000*1",128000,8,지상
67,서남환경에너지㈜,산업시설,055-331-9140,경상남도 김해시 상동면 매리 952,경상남도 김해시 상동면 동북로 473번길 250-79,유해화학물저장및제조시설,"정제유 111,000*2          65,000*1          37,000*1(면제)          32,000*1(면제)          25,000*4(면제)폐유 111,000*3        65,000*2        37,000*3(면제)경유 3,000*1(면제)",1033000,18,지상
68,한솔유화,유해화학물질,055-325-1501,경상남도 김해시 지내동 195-8,경상남도 김해시 김해대로 2694번길 39,석유류저장시설,톨루엔 ,665400,16,지상지하
69,㈜지석,기타,055-346-0447,경상남도 김해시 진영읍 본산리 935-1,경상남도 김해시 진영읍 본산로86번길 21,석유류저장시설,중유 50000*1경유 8000*1,58000,2,지상
70,㈜동양산업,기타,055-331-8911,경상남도 김해시 상동면 매리 479-3,경상남도 김해시 상동면 동북로437번길 58-62,석유류저장시설,"경유 30,000*1",30000,1,지하
71,육군제2299부대  (1116공병단본부),기타,055-342-4266,경상남도 김해시 진영읍 의전리 산8,경상남도 김해시 서부로 294,석유류저장시설,"휘발유 20,000*2경유 20,000*4",120000,6,지하
72,일진석유,주유소,055-342-7500,경상남도 김해시 한림면 장방리 784,경상남도 김해시 한림면 장방로 232-3,석유류저장시설,경유 9800*1등유 19800*1,29600,2,지하
73,푸르지오주유소,주유소,055-339-5510,경상남도 김해시 삼계동 1176,경상남도 김해시 김해대로 1711 (삼계동),석유류저장시설,"휘발유 40,000*1경유 40,000*4",200000,5,지하
74,아시아페인트㈜,유해화학물질,,경상남도 김해시 지내동 195-15,경상남도 김해시 김해대로 2694번길 13-70 (지내동),석유류저장시설,"크실렌 23,000*1메탄올 23,000*1우레탄신나 23,000*1솔벤트 23,000*1신나류 9,500*1",101500,5,지상
75,수안석유,기타,055-322-0327,경상남도 김해시 어방동 359-28,경상남도 김해시 활천로186번길 16 (어방동),석유류저장시설,"경유 14,900*1등유 15,000*1",29900,2,지하
76,디유환경,유해화학물질,055-329-0333,경상남도 김해시 삼계동 1007-2,경상남도 김해시 안곡로 132,석유류저장시설,"제4석유류 85,000*2150,000*229,000*1",126000,7,지상
77,㈜다우링에너지,유해화학물질,055-346-3355,경상남도 김해시 한림면 신천리 841-2,경상남도 김해시 한림면 김해대로1402번길 147,유해화학물저장및제조시설,톨루엔 외,4369000,36,지상
78,육군2171부대    (52군지단보급수송대),기타,055-345-6227,경상남도 김해시 진례면 청천리 259-7,경상남도 김해시 진례면 서부로 450,석유류저장시설,"휘발유 20,000*3경유 20,000*3등유 20,000*2",160000,8,지하
79,명풍주유소(누출검사 미등록),주유소,055-322-9800,경상남도 김해시 안동 538-12,경상남도 김해시 김해대로 2618 (안동),석유류저장시설,"휘발유 40,000*1경유 40,000*3, 50,000*1 등유 50,000*1",260000,6,지하
80,표주주유소,주유소,055-323-7878,경상남도 김해시 상동면 매리 483-1,경상남도 김해시 상동면 동북로437번길 58-77,석유류저장시설,"휘발유 30,000*1경유 30,000*2등유 30,000*2",150000,5,지하
81,㈜한중유화,산업시설,055-345-1801,경상남도 김해시 한림면 병동리 1005외1,경상남도 김해시 한림면 김해대로916번길 24-13,석유류저장시설,"윤활유 26,000*1, 20,000*1         10,000*3,  5,000*6         3,000*1,   2,000*3         80,000*1, 2,052*1베이스오일 38,000*4, 20,000*4등유 420*1열매체유 950*1기어류 27,000*3방청류 27,000*3",592422,23,지상
82,㈜가온에너지 힘대로주유소,주유소,,경상남도 김해시 구산동 834-1외 2,경상남도 김해시 김해대로 1924 (구산동),석유류저장시설,"휘발유 50,000*2, 20,000*1경유 50,000*3, 40,000*3등유 20,000*1",410000,10,지하
83,㈜에스엘선린 테크노밸리주유소,주유소,055-343-1097,경상남도 김해시 진례면 고모리 554-1,경상남도 김해시 진례면 고모로 534,석유류저장시설,"휘발유 40,000*2경유 40,000*2등유 40,000*1",200000,5,지하
84,㈜동성에이피,유해화학물질,055-337-5885,경상남도 김해시 생림면 봉림리 88-1,경상남도 김해시 생림면 생림대로928번길 94,석유류저장시설,"제1석유류 20,100*2, 15,500*1제2석유류 15,500*2제3석유류 15,500*2, 9,500*1MMA 19,500*1EAM 19,500*1AA 14,000*1D/O 1,900*1",182100,12,지상
85,우리동네석유,기타,055-337-6191,경상남도 김해시 내동 593,경상남도 김해시 금관대로1341번길 5 (내동),석유류저장시설,"등유 20,000*2",40000,2,지하
86,현대석유,기타,055-325-7833,경상남도 김해시 화목동 583-8,경상남도 김해시 칠산로 393 (화목동),석유류저장시설,"경유 20,000*1등유 20,000*1",40000,2,지하
87,새김해주유소,주유소,055-339-2245,경상남도 김해시 삼계동 429-2,경상남도 김해시 김해대로 1816 (삼계동),석유류저장시설,"휘발유 50,000*1경유 50,000*1등유 50,000*2",200000,4,지하
88,SK유공석유,기타,055-343-3333,경상남도 김해시 한림면 가동리 356-2,경상남도 김해시 한림면 가동로 114-1,석유류저장시설,"등유 20,000*1경유 20,000*1",40000,2,지하
89,우리동네주유소,주유소,055-337-5155,경상남도 김해시 주촌면 양동리 257-3,경상남도 김해시 주촌면 서부로 1329 ,석유류저장시설,"휘발유 49,800*2경유 30,000*1",128000,3,지하
90,㈜동방유화,유해화학물질,055-329-0333,경상남도 김해시 주촌면 선지리 30-9,경상남도 김해시 주촌면 서부로1701번안길 58-218,유해화학물저장및제조시설,톨루엔외4,667200,19,지상
91,츄고쿠삼화페인트㈜,유해화학물질,055-340-0722,경상남도 김해시 한림면 퇴래리 972,경상남도 김해시 한림면 김해대로927번길 322,석유류저장시설,"4류2석유류(크실렌) 28,000제4류  알콜류(IPA) 28,0004류2석유류(솔벤트) 28,0004류2석유류(PGME) 28,0004류2석유류(BA) 19,0004류2석유류(크실렌) 19,0004류2석유류(BC) 19,0004류2석유류(부생연료유) 19,000제4류  알콜류(IBA) 44,0004류1석유류(MIBK) 44,0004류1석유류 2,5004류2석유류 46,0004류2석유류 1,247,0004류3석유류 6004류4석유류 4004류1석유류 64,2004류2석유류 51,6004류3석유류 2,8004류1석유류 64,2004류3석유류 2004류4석유류 4004류2석유류(유성도료) 25,0004류3석유류(유성도료) 40,0004류2석유류 20,0004류2석유류 10,0004류2석유류(유성도료) 25,0004류3석유류(유성도료) 44,000제4류2석유류 10,0004류2석유류(수지외) 47,8804류2석유류(건조제외) 22,4004류3석유류(가소제 외) 50,2004류4석유류(가소제 외) 6,200",1996780,32,옥외탱크저장소제조소옥내외저장소
92,출광주유소,주유소,055-328-3596,경상남도 김해시 외동 1091번지,경상남도 김해시 금관대로 1152 (외동),석유류저장시설,"휘발유 50,000*1경유 50,000*2등유 50,000*2",250000,5,지하
93,㈜삼영필름,기타,055-343-1001,경상남도 김해시 진영읍 하계리 산66,경상남도 김해시 진영읍 하계로 138번길 51-37,석유류저장시설,"중유 28,500*1, 900*1경유 3,500*1, 1,700*1, 680*1",35280,5,지상
94,동성유화,산업시설,055-336-0700,경상남도 김해시 생림면 생철리 227-12,경상남도 김해시 생림면 마사로 12-40본사업장 : 함안군 법수면 장백로 528-25,기계유저장시설,"베이스오일 24,000*2금속가공유 24,000*1",72000,3,지하
95,서부주유소,주유소,055-327-2789,경상남도 김해시 흥동 419-11번지,경상남도 김해시 전하로 171 (흥동),석유류저장시설,"휘발유 50,000*1경유 50,000*4등유 50,000*1 ",300000,6,지하
96,부성주유소,주유소,055-321-0822,경상남도 김해시 상동면 매리 733,경상남도 김해시 상동면 상동로 799,석유류저장시설,"휘발유 40,000*1경유 40,000*3등유 40,000*1",200000,5,지하
97,제일석유,기타,055-333-5189,경상남도 김해시 어방동 722-7,경상남도 김해시 활천로208번길 75 (어방동),석유류저장시설,"등유 20,000*1경유 20,000*1",40000,2,지하
98,㈜제일자원,산업시설,055-342-3625,경상남도 김해시 진영읍 본산리 310-2,경상남도 김해시 진영읍 본산로269번길 28,석유류저장시설,"폐유기용제 96,000*2폐유기용제 144,000*2폐절삭유 96,000*2폐기계유 96,000*2폐유 94,000*3제4석유류 60,000*3             120,000*1제3석유류 60,000*1             40,000*1제2석유류 60,000*1             40,000*1",1638000,19,지상
99,㈜김해자동차학원,기타,055-321-2001,경상남도 김해시 어방동 89-4,경상남도 김해시 김해대로 2569 (어방동),석유류저장시설,"휘발유 12,000*1경유 12,000*1",24000,2,지하
100,㈜혁진,산업시설,055-322-6330,경상남도 김해시 생림면 봉림리 1035,경상남도 김해시 생림면 봉림로 115-148,석유류저장시설,"정제유 20,000*1, 145,000*1 폐기계유 145,000*3부생연료유 146,000*1정제연료유 99,000*1(기존313호 통합)65,000*1, 47,000*1기계유 18,000*1,33,000*1, 19,000*1, 30,000*1",1104000,13,지상
101,대양석유㈜ 서김해주유소,주유소,055-329-2400,경상남도 김해시 풍유동 622,경상남도 김해시 금관대로 892  (풍유동),석유류저장시설,"휘발유,경유,등유",230000,5,지하
102,전원주유소,주유소,055-329-5885,경상남도 김해시 생림면 나전리 490,경상남도 김해시 생림면 나전리 490,석유류저장시설,"휘발유,경유,등유",160000,4,지하
103,봉림주유소,주유소,055-325-5169,경상남도 김해시 생림면 봉림리 184-530,경상남도 김해시 생림면?생림대로 740,석유류저장시설,"휘발유,경유,등유",200000,4,지하
104,악조노벨인더스트리얼코팅(유),유해화학물질,055-720-0440,경상남도 김해시 진영읍 본산리 315-1외 4,경상남도 김해시 진영읍 본산1로56번길 60,유해화학물저장및제조시설,"톨루엔,크실렌,에칠아세테이트,MEK(메틸에틸케톤)",805980,24,지상
105,성림엔에스티(동김해IC주유소),주유소,055-332-9559,"경상남도 김해시 어방동 1111-14,16",경상남도 김해시 인제로 23 (어방동),석유류저장시설,"경유,휘발유,실내등유,보일러등유",200000,4,지하
